This file was created by CMPT_ME_BEME_OP_INV_RETS using the 201804 CRSP database.
The 1-month TBill return is from Ibbotson and Associates Inc.

,Mkt-RF,SMB,HML,RMW,CMA,RF
196307,   -0.39,   -0.46,   -0.81,    0.72,   -1.16,    0.27
196308,    5.07,   -0.81,    1.65,    0.42,   -0.40,    0.25
196309,   -1.57,   -0.48,    0.19,   -0.80,    0.23,    0.27
196310,    2.53,   -1.29,   -0.09,    2.75,   -2.26,    0.29
196311,   -0.85,   -0.85,    1.71,   -0.34,    2.22,    0.27
196312,    1.83,   -1.87,   -0.10,    0.18,   -0.31,    0.29
196401,    2.24,    0.09,    1.61,    0.21,    1.51,    0.30
196402,    1.54,    0.30,    2.82,    0.04,    0.87,    0.26
196403,    1.41,    1.42,    3.34,   -2.00,    2.95,    0.31
196404,    0.10,   -1.50,   -0.53,   -1.40,   -1.10,    0.29
196405,    1.42,   -0.68,    1.96,   -0.28,    0.24,    0.26
196406,    1.27,    0.08,    0.68,   -0.36,    0.13,    0.30
196407,    1.74,    0.47,    0.70,    0.02,    1.91,    0.30
196408,   -1.44,    0.31,    0.09,   -0.09,    0.35,    0.28
196409,    2.69,   -0.31,    1.64,   -0.36,    0.59,    0.28
196410,    0.59,    0.91,    1.15,   -0.18,    0.45,    0.29
196411,    0.00,   -0.27,   -1.99,    0.62,   -0.17,    0.29
196412,    0.03,   -0.56,   -2.55,    1.27,   -1.65,    0.31
196501,    3.54,    2.48,    0.19,    0.75,    0.15,    0.28
196502,    0.44,    3.30,    0.19,    0.26,   -0.67,    0.30
196503,   -1.34,    2.01,    1.07,   -0.33,    0.74,    0.36
196504,    3.11,    1.19,    0.70,    0.34,   -2.30,    0.31
196505,   -0.77,    0.04,   -1.61,   -0.46,    0.74,    0.31
196506,   -5.51,   -4.31,    0.58,    0.13,    0.44,    0.35
196507,    1.43,    1.05,    2.17,   -1.43,    0.00,    0.31
196508,    2.73,    2.74,   -1.04,    1.90,   -0.72,    0.33
196509,    2.86,    0.62,   -0.14,   -1.07,    0.84,    0.31
196510,    2.60,    3.43,    1.50,    1.24,   -0.73,    0.31
196511,   -0.03,    5.21,    0.20,   -1.08,   -0.89,    0.35
196512,    1.01,    2.67,    1.99,   -1.12,   -0.50,    0.33
196601,    0.72,    4.67,    3.54,   -2.90,   -0.06,    0.38
196602,   -1.21,    4.79,    0.39,    0.10,   -1.45,    0.35
196603,   -2.51,    0.24,   -2.03,    1.27,   -0.04,    0.38
196604,    2.14,    3.36,   -0.50,    0.40,   -0.92,    0.34
196605,   -5.66,   -5.16,   -1.61,    1.76,   -1.50,    0.41
196606,   -1.44,    1.37,    0.51,   -0.04,    0.77,    0.38
196607,   -1.63,   -0.44,    0.93,   -0.50,    1.72,    0.35
196608,   -7.91,   -3.07,    0.59,    0.27,    0.88,    0.41
196609,   -1.06,   -1.13,    0.54,   -1.17,    2.47,    0.40
196610,    3.86,   -6.49,    2.90,   -3.54,    4.26,    0.45
196611,    1.40,    3.47,   -4.64,    4.17,   -6.63,    0.40
196612,    0.13,    1.98,   -1.34,    0.86,   -0.22,    0.40
196701,    8.15,    9.10,    1.90,    0.58,   -3.17,    0.43
196702,    0.78,    3.06,   -2.23,    2.15,   -0.98,    0.36
196703,    3.99,    1.99,    0.18,    0.63,   -1.58,    0.39
196704,    3.89,    0.45,   -2.61,    2.56,   -3.70,    0.32
196705,   -4.33,    2.35,    0.83,   -1.85,    1.65,    0.33
196706,    2.41,    6.49,    0.88,   -0.64,   -2.40,    0.27
196707,    4.58,    3.22,    2.65,   -1.57,    2.75,    0.31
196708,   -0.89,    0.75,    1.46,    0.51,    1.40,    0.31
196709,    3.11,    2.41,   -2.47,   -0.02,   -1.00,    0.32
196710,   -3.09,    0.48,   -3.39,    0.89,   -2.58,    0.39
196711,    0.37,   -0.01,   -1.71,    1.30,   -2.29,    0.36
196712,    3.05,    5.72,   -0.39,   -1.03,    0.08,    0.33
196801,   -4.06,    4.55,    4.75,   -3.88,    6.42,    0.40
196802,   -3.75,   -2.91,    1.17,   -0.11,    2.49,    0.39
196803,    0.20,   -1.54,   -0.59,    1.04,   -1.16,    0.38
196804,    9.05,    6.19,   -1.03,    2.04,   -3.69,    0.43
196805,    2.28,    6.95,    0.84,   -0.22,   -1.85,    0.45
196806,    0.69,   -0.26,    0.67,   -0.99,    2.73,    0.43
196807,   -2.72,   -1.35,    5.48,   -3.17,    3.59,    0.48
196808,    1.34,    2.29,    1.00,   -0.56,    0.42,    0.42
196809,    4.03,    2.76,    0.24,   -2.19,    0.89,    0.43
196810,    0.42,   -0.44,    2.89,   -1.36,    2.79,    0.44
196811,    5.43,    2.42,   -0.90,    0.50,   -2.50,    0.42
196812,   -3.94,    3.59,    0.02,   -1.76,    1.66,    0.43
196901,   -1.25,   -0.47,    1.69,   -1.53,    1.38,    0.53
196902,   -5.84,   -4.12,    0.90,    2.11,    0.79,    0.46
196903,    2.64,   -0.40,   -0.46,   -1.39,   -0.41,    0.46
196904,    1.46,   -0.82,    0.03,    0.33,    0.08,    0.53
196905,   -0.10,   -0.18,    0.73,   -1.03,    1.51,    0.48
196906,   -7.18,   -5.47,   -1.09,    4.22,   -1.53,    0.51
196907,   -7.00,   -3.37,    1.42,    1.30,    1.97,    0.53
196908,    4.68,    0.71,   -3.87,    1.25,   -4.08,    0.50
196909,   -2.98,    1.29,   -3.19,    3.28,   -0.83,    0.62
196910,    5.06,    3.89,   -3.19,   -0.15,   -2.03,    0.60
196911,   -3.79,   -2.41,   -1.12,    1.29,    0.32,    0.52
196912,   -2.63,   -3.70,   -3.02,    2.09,   -2.04,    0.64
197001,   -8.10,    3.07,    3.04,   -2.00,    3.92,    0.60
197002,    5.13,   -2.59,    4.04,   -2.19,    3.06,    0.62
197003,   -1.06,   -2.42,    4.25,   -1.02,    4.43,    0.57
197004,  -11.00,   -6.30,    6.39,   -1.01,    5.88,    0.50
197005,   -6.92,   -4.43,    3.60,   -1.39,    3.62,    0.53
197006,   -5.79,   -2.18,    0.87,   -0.07,    2.90,    0.58
197007,    6.93,   -0.69,    0.98,   -0.10,    1.84,    0.52
197008,    4.49,    1.54,    1.04,    0.67,   -0.18,    0.53
197009,    4.18,    8.45,   -5.62,    0.42,   -5.98,    0.54
197010,   -2.28,   -4.55,    0.26,    1.86,    2.28,    0.46
197011,    4.59,   -4.00,    1.64,    1.70,    1.58,    0.46
197012,    5.72,    3.02,    0.98,    0.11,    0.35,    0.42
197101,    4.84,    7.49,    1.36,   -2.05,   -0.26,    0.38
197102,    1.41,    1.99,   -1.33,    0.56,   -0.80,    0.33
197103,    4.13,    2.14,   -4.04,    2.02,   -2.75,    0.30
197104,    3.15,   -0.35,    0.75,   -1.43,    0.72,    0.28
197105,   -3.98,   -1.16,   -1.36,    1.31,    0.27,    0.29
197106,   -0.10,   -1.44,   -2.07,    1.49,   -1.68,    0.37
197107,   -4.50,   -1.40,    0.17,    0.50,    1.62,    0.40
197108,    3.79,   -0.17,    2.67,   -0.32,    2.60,    0.47
197109,   -0.85,    0.21,   -2.96,    2.66,   -1.56,    0.37
197110,   -4.42,   -1.66,   -0.43,    1.38,   -1.24,    0.37
197111,   -0.46,   -2.91,   -1.70,    2.22,   -0.36,    0.37
197112,    8.71,    3.26,   -0.35,   -0.40,   -1.83,    0.37
197201,    2.49,    6.32,    1.99,   -1.75,    0.29,    0.29
197202,    2.87,    0.97,   -2.76,    1.96,   -0.52,    0.25
197203,    0.63,   -0.47,   -1.73,    1.48,   -0.19,    0.27
197204,    0.29,    0.15,    0.23,   -0.46,   -0.89,    0.29
197205,    1.25,   -3.15,   -2.69,    2.40,   -1.85,    0.30
197206,   -2.43,   -0.35,   -2.51,    1.76,   -0.36,    0.29
197207,   -0.80,   -2.76,    0.78,    1.02,   -0.79,    0.31
197208,    3.26,   -3.56,    4.69,   -2.18,    2.97,    0.29
197209,   -1.14,   -2.25,    0.47,    1.65,   -1.97,    0.34
197210,    0.52,   -2.51,    1.37,   -0.08,    0.51,    0.40
197211,    4.60,   -0.54,    4.76,   -2.00,    3.51,    0.37
197212,    0.62,   -1.83,   -2.27,    2.42,   -2.29,    0.37
197301,   -3.29,   -2.89,    2.68,    0.48,   -0.08,    0.44
197302,   -4.85,   -4.04,    1.70,   -0.53,   -0.28,    0.41
197303,   -1.30,   -2.33,    2.78,   -0.98,    0.64,    0.46
197304,   -5.68,   -3.05,    5.69,   -1.76,    2.66,    0.52
197305,   -2.94,   -5.98,    0.21,    1.90,   -1.60,    0.51
197306,   -1.56,   -2.57,    1.44,   -0.34,    0.07,    0.51
197307,    5.05,    7.28,   -5.31,   -0.18,   -3.50,    0.64
